 /midi:akm320:1/note_off  [55, 64]
 /midi:akm320:1/note_on   [57, 90]
 /midi:akm320:1/note_off  [57, 64]
 /midi:akm320:1/note_on   [55, 76]
 /midi:akm320:1/note_off  [55, 64]
 /midi:akm320:1/note_on   [60, 93]
 /midi:akm320:1/note_off  [60, 64]
 /midi:akm320:1/note_on   [59, 96]
 /midi:akm320:1/note_off  [59, 64]
 /midi:akm320:1/note_on   [55, 102]
 /midi:akm320:1/note_off  [55, 64]
 /midi:akm320:1/note_on   [57, 73]
 /midi:akm320:1/note_off  [57, 64]
 /midi:akm320:1/note_on   [55, 91]
 /midi:akm320:1/note_off  [55, 64]
 /midi:akm320:1/note_on   [62, 97]
 /midi:akm320:1/note_off  [62, 64]
 /midi:akm320:1/note_on   [60, 97]
 /midi:akm320:1/note_off  [60, 64]
 /midi:akm320:1/note_on   [55, 109]
 /midi:akm320:1/note_off  [55, 64]
 /midi:akm320:1/note_on   [67, 88]
 /midi:akm320:1/note_off  [67, 64]
 /midi:akm320:1/note_on   [64, 94]
 /midi:akm320:1/note_off  [64, 64]
 /midi:akm320:1/note_on   [60, 103]
 /midi:akm320:1/note_off  [60, 64]
 /midi:akm320:1/note_on   [57, 71]
 /midi:akm320:1/note_off  [57, 64]
 /midi:akm320:1/note_on   [55, 66]
 /midi:akm320:1/note_off  [55, 64]
 /midi:akm320:1/note_on   [65, 90]
 /midi:akm320:1/note_off  [65, 64]
 /midi:akm320:1/note_on   [64, 103]
 /midi:akm320:1/note_off  [64, 64]
 /midi:akm320:1/note_on   [60, 82]
 /midi:akm320:1/note_off  [60, 64]
 /midi:akm320:1/note_on   [62, 88]
 /midi:akm320:1/note_off  [62, 64]
 /midi:akm320:1/note_on   [60, 80]
 /midi:akm320:1/note_off  [60, 64]
